timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728915156427,962,Homepage Test,200,OK,Thread Group 1-1,text,true,,7319,189,7,7,https://automationexercise.com/login,961,0,240
1728915156636,973,Homepage Test,200,OK,Thread Group 1-2,text,true,,7319,189,8,8,https://automationexercise.com/login,973,0,208
1728915156840,890,Homepage Test,200,OK,Thread Group 1-3,text,true,,7317,189,9,9,https://automationexercise.com/login,890,0,176
1728915157038,700,Homepage Test,200,OK,Thread Group 1-4,text,true,,7321,189,9,9,https://automationexercise.com/login,695,0,351
1728915157691,292,Homepage Test,200,OK,Thread Group 1-1,text,true,,7313,189,10,10,https://automationexercise.com/login,291,0,0
1728915157910,250,Homepage Test,200,OK,Thread Group 1-2,text,true,,7315,189,11,11,https://automationexercise.com/login,248,0,0
1728915158030,298,Homepage Test,200,OK,Thread Group 1-3,text,true,,7319,189,12,12,https://automationexercise.com/login,261,0,0
1728915158038,290,Homepage Test,200,OK,Thread Group 1-4,text,true,,7315,189,12,12,https://automationexercise.com/login,290,0,0
1728915157817,515,Homepage Test,200,OK,Thread Group 1-8,text,true,,7313,189,12,12,https://automationexercise.com/login,512,0,234
1728915157434,971,Homepage Test,200,OK,Thread Group 1-6,text,true,,7317,189,12,12,https://automationexercise.com/login,970,0,306
1728915157240,1166,Homepage Test,200,OK,Thread Group 1-5,text,true,,7315,189,12,12,https://automationexercise.com/login,1165,0,492
1728915157617,833,Homepage Test,200,OK,Thread Group 1-7,text,true,,7317,189,12,12,https://automationexercise.com/login,792,0,192
1728915158284,289,Homepage Test,200,OK,Thread Group 1-1,text,true,,7315,189,13,13,https://automationexercise.com/login,288,0,0
1728915158219,487,Homepage Test,200,OK,Thread Group 1-10,text,true,,7315,189,13,13,https://automationexercise.com/login,486,0,193
1728915158461,246,Homepage Test,200,OK,Thread Group 1-2,text,true,,7317,189,13,13,https://automationexercise.com/login,245,0,0
1728915158633,263,Homepage Test,200,OK,Thread Group 1-8,text,true,,7311,189,14,14,https://automationexercise.com/login,263,0,0
1728915158629,268,Homepage Test,200,OK,Thread Group 1-4,text,true,,7313,189,14,14,https://automationexercise.com/login,267,0,0
1728915158425,510,Homepage Test,200,OK,Thread Group 1-11,text,true,,7309,189,15,15,https://automationexercise.com/login,472,0,216
1728915158018,918,Homepage Test,200,OK,Thread Group 1-9,text,true,,7313,189,15,15,https://automationexercise.com/login,918,0,212
1728915158629,312,Homepage Test,200,OK,Thread Group 1-3,text,true,,7319,189,15,15,https://automationexercise.com/login,307,0,0
1728915158706,246,Homepage Test,200,OK,Thread Group 1-6,text,true,,7317,189,15,15,https://automationexercise.com/login,245,0,0
1728915158708,245,Homepage Test,200,OK,Thread Group 1-5,text,true,,7323,189,15,15,https://automationexercise.com/login,244,0,0
1728915158751,244,Homepage Test,200,OK,Thread Group 1-7,text,true,,7313,189,15,15,https://automationexercise.com/login,243,0,0
1728915158617,447,Homepage Test,200,OK,Thread Group 1-12,text,true,,7309,189,15,15,https://automationexercise.com/login,446,0,206
1728915158873,249,Homepage Test,200,OK,Thread Group 1-1,text,true,,7315,189,16,16,https://automationexercise.com/login,247,0,0
1728915159007,303,Homepage Test,200,OK,Thread Group 1-10,text,true,,7315,189,16,16,https://automationexercise.com/login,302,0,0
1728915159008,303,Homepage Test,200,OK,Thread Group 1-2,text,true,,7315,189,16,16,https://automationexercise.com/login,303,0,0
1728915159197,281,Homepage Test,200,OK,Thread Group 1-8,text,true,,7313,189,17,17,https://automationexercise.com/login,280,0,0
1728915159199,354,Homepage Test,200,OK,Thread Group 1-4,text,true,,7309,189,18,18,https://automationexercise.com/login,351,0,0
1728915159236,317,Homepage Test,200,OK,Thread Group 1-11,text,true,,7315,189,18,18,https://automationexercise.com/login,317,0,0
1728915159237,318,Homepage Test,200,OK,Thread Group 1-9,text,true,,7315,189,18,18,https://automationexercise.com/login,317,0,0
1728915159018,575,Homepage Test,200,OK,Thread Group 1-14,text,true,,7319,189,18,18,https://automationexercise.com/login,538,0,174
1728915159242,367,Homepage Test,200,OK,Thread Group 1-3,text,true,,7313,189,18,18,https://automationexercise.com/login,351,0,0
1728915159253,401,Homepage Test,200,OK,Thread Group 1-6,text,true,,7331,189,18,18,https://automationexercise.com/login,357,0,0
1728915159253,402,Homepage Test,200,OK,Thread Group 1-5,text,true,,7319,189,18,18,https://automationexercise.com/login,357,0,0
1728915159297,359,Homepage Test,200,OK,Thread Group 1-7,text,true,,7317,189,18,18,https://automationexercise.com/login,358,0,0
1728915159364,293,Homepage Test,200,OK,Thread Group 1-12,text,true,,7317,189,18,18,https://automationexercise.com/login,292,0,0
1728915158818,912,Homepage Test,200,OK,Thread Group 1-13,text,true,,7313,189,19,19,https://automationexercise.com/login,910,0,246
1728915159428,304,Homepage Test,200,OK,Thread Group 1-1,text,true,,7315,189,19,19,https://automationexercise.com/login,304,0,0
1728915159612,283,Homepage Test,200,OK,Thread Group 1-2,text,true,,7315,189,18,18,https://automationexercise.com/login,283,0,0
1728915159612,284,Homepage Test,200,OK,Thread Group 1-10,text,true,,7317,189,18,18,https://automationexercise.com/login,283,0,0
1728915159429,603,Homepage Test,200,OK,Thread Group 1-16,text,true,,7323,189,18,18,https://automationexercise.com/login,601,0,307
1728915159779,254,Homepage Test,200,OK,Thread Group 1-8,text,true,,7317,189,18,18,https://automationexercise.com/login,253,0,0
1728915159217,816,Homepage Test,200,OK,Thread Group 1-15,text,true,,7321,189,18,18,https://automationexercise.com/login,816,0,163
1728915159854,281,Homepage Test,200,OK,Thread Group 1-4,text,true,,7315,189,19,19,https://automationexercise.com/login,279,0,0
1728915159854,360,Homepage Test,200,OK,Thread Group 1-11,text,true,,7311,189,18,18,https://automationexercise.com/login,358,0,0
1728915159894,321,Homepage Test,200,OK,Thread Group 1-14,text,true,,7319,189,18,18,https://automationexercise.com/login,320,0,0
1728915159618,598,Homepage Test,200,OK,Thread Group 1-17,text,true,,7319,189,18,18,https://automationexercise.com/login,596,0,280
1728915159856,407,Homepage Test,200,OK,Thread Group 1-9,text,true,,7315,189,18,18,https://automationexercise.com/login,360,0,0
1728915159910,353,Homepage Test,200,OK,Thread Group 1-3,text,true,,7313,189,18,18,https://automationexercise.com/login,353,0,0
1728915159955,309,Homepage Test,200,OK,Thread Group 1-6,text,true,,7309,189,18,18,https://automationexercise.com/login,308,0,0
1728915159956,308,Homepage Test,200,OK,Thread Group 1-7,text,true,,7313,189,17,17,https://automationexercise.com/login,308,0,0
1728915159956,309,Homepage Test,200,OK,Thread Group 1-5,text,true,,7311,189,17,17,https://automationexercise.com/login,309,0,0
1728915159957,310,Homepage Test,200,OK,Thread Group 1-12,text,true,,7317,189,17,17,https://automationexercise.com/login,308,0,0
1728915160032,236,Homepage Test,200,OK,Thread Group 1-13,text,true,,7311,189,17,17,https://automationexercise.com/login,236,0,0
1728915159818,560,Homepage Test,200,OK,Thread Group 1-18,text,true,,7313,189,18,18,https://automationexercise.com/login,560,0,257
1728915160196,248,Homepage Test,200,OK,Thread Group 1-10,text,true,,7317,189,18,18,https://automationexercise.com/login,248,0,0
1728915160017,532,Homepage Test,200,OK,Thread Group 1-19,text,true,,7311,189,19,19,https://automationexercise.com/login,531,0,255
1728915160333,344,Homepage Test,200,OK,Thread Group 1-8,text,true,,7315,189,19,19,https://automationexercise.com/login,343,0,0
1728915160333,344,Homepage Test,200,OK,Thread Group 1-15,text,true,,7317,189,19,19,https://automationexercise.com/login,344,0,0
1728915160333,345,Homepage Test,200,OK,Thread Group 1-16,text,true,,7319,189,19,19,https://automationexercise.com/login,344,0,0
1728915160218,572,Homepage Test,200,OK,Thread Group 1-20,text,true,,7313,189,19,19,https://automationexercise.com/login,571,0,230
1728915160516,398,Homepage Test,200,OK,Thread Group 1-17,text,true,,7317,189,19,19,https://automationexercise.com/login,282,0,0
1728915160515,400,Homepage Test,200,OK,Thread Group 1-11,text,true,,7315,189,19,19,https://automationexercise.com/login,399,0,0
